ticker,keyword,tfidf_score,rank
PLD,great,6.6940175097167955,1
PLD,cultur,6.2484616074867745,2
PLD,prolog,5.552059193898589,3
PLD,team,4.372614772690114,4
PLD,leadership,3.708188577228785,5
PLD,strong,3.6948268560089526,6
PLD,innov,3.2809245632634276,7
PLD,place,3.1711182563126066,8
PLD,lot,3.0178223731022396,9
PLD,support,2.930915388766241,10
PLD,employe,2.890863101904389,11
PLD,offic,2.7112271089754607,12
PLD,good,2.6816956947028983,13
PLD,care,2.600412183985031,14
PLD,opportun,2.578695367734079,15
PLD,make,2.55807017280981,16
PLD,feel,2.4653654609217623,17
PLD,leader,2.394460241905673,18
PLD,encourag,2.3480660905551214,19
PLD,genuin,2.2747081287217665,20
