ticker,year_month,ai_mentioned,ai_mention_count,review_count,ai_mention_pct
PLD,2023-08,0,0,1,0.0
PLD,2024-08,1,1,2,50.0
PLD,2024-09,3,3,17,17.647058823529413
PLD,2024-10,1,1,6,16.666666666666664
PLD,2024-12,0,0,1,0.0
PLD,2025-01,0,0,2,0.0
PLD,2025-03,0,0,6,0.0
PLD,2025-04,0,0,5,0.0
PLD,2025-05,1,1,4,25.0
PLD,2025-06,1,1,7,14.285714285714285
PLD,2025-07,0,0,4,0.0
PLD,2025-08,0,0,3,0.0
PLD,2025-09,3,3,7,42.857142857142854
PLD,2025-10,0,0,3,0.0
PLD,2025-11,0,0,1,0.0
