,rating,sentiment_score
count,99.0,99.0
mean,4.777777777777778,0.24763148530113577
std,0.5812645531301762,0.19118067640497063
min,2.0,0.033351458609104156
25%,5.0,0.1085556261241436
50%,5.0,0.18283294141292572
75%,5.0,0.3269169181585312
max,5.0,0.7888815999031067
