,sentiment_score_mean,sentiment_score_mean,sentiment_score_mean,rating_mean,rating_mean,rating_mean,review_count,review_count,review_count
,mean,std,count,mean,std,count,mean,std,count
year,,,,,,,,,
2008,-0.5831323207489082,0.04044670259388127,2,2.5,0.5050762722761055,2,14.0,9.899494936611665,2
2009,-0.3570474810437077,0.23859089663236047,6,3.078650793650793,0.657982928647495,6,10.833333333333334,9.600347215943112,6
2010,-0.3324048801189941,0.15296105742942967,13,2.7012820512820515,0.5997648452343474,13,7.153846153846154,6.618737969408693,13
2011,-0.3352749341610799,0.1703888653998041,16,2.734529299203212,0.6174241103072609,16,8.1875,6.625393070100319,16
2012,-0.3844221944634126,0.15770030996420428,21,3.000085931808621,0.62668555859971,21,10.285714285714286,8.556534679079242,21
2013,-0.35748508515801103,0.1923574688460771,32,3.104388941357718,0.7586528664596554,32,12.65625,14.565999683310224,32
2014,-0.31259583822320625,0.17556594432817613,41,3.0255344755596103,0.6935113601743244,41,19.804878048780488,25.753853606979987,41
2015,-0.27241524061889616,0.1635346567468588,51,3.26448737138751,0.6528322067622312,51,27.470588235294116,36.350710001966384,51
2016,-0.25181881223037555,0.19105834443132536,55,3.4293866847783616,0.6646679186301827,55,30.89090909090909,45.5902331675257,55
2017,-0.21044018635183054,0.20097877823303203,58,3.421190702899886,0.6604736848444779,58,28.93103448275862,37.34470162234461,58
2018,-0.2377733938311811,0.17098126642422246,52,3.4640279641817,0.6160686651283309,52,30.365384615384617,46.1948256359459,52
2019,-0.24107046903637558,0.17539132698992402,51,3.5129769434361786,0.6103532027763907,51,26.901960784313726,32.15291893558704,51
2020,-0.21694012454764966,0.21468524865790353,63,3.6364683746592257,0.6809100991382881,63,30.634920634920636,44.79498156918833,63
2021,-0.18918648989643747,0.15888200846234946,72,3.7720748422251926,0.48895355594309486,72,49.56944444444444,73.96931727600682,72
2022,-0.20504382933025542,0.17944604393325908,75,3.767704509716037,0.5363420285556579,75,48.666666666666664,81.45606232865721,75
2023,-0.22783248339130563,0.16250129239032646,65,3.6112922646120906,0.5089998122425037,65,55.44615384615385,108.9468090929627,65
2024,-0.2421563953704554,0.1536609446227685,72,3.6395327818422607,0.6297239688506228,72,51.388888888888886,92.5559679261583,72
2025,-0.3051668632225653,0.16330221161468936,63,3.3640030018994307,0.601528192282929,63,33.476190476190474,52.496038911354894,63
