,sentiment_score_mean,sentiment_dispersion,sentiment_agreement,rating_mean,review_count,positive_prob_mean,negative_prob_mean
count,808.0,808.0,808.0,808.0,808.0,808.0,808.0
mean,-0.252558675536491,0.4344039893198255,0.6257983767370187,3.457342757567073,34.70420792079208,0.12336214467554524,0.37592082005580607
std,0.18228660447150924,0.11057487805630616,0.1281103146266573,0.665227422558421,62.4666880810719,0.06689679304695063,0.1362630906123917
min,-0.8469676077365875,6.02223260069079e-08,0.3333333333333333,1.0,3.0,0.0154003162557879,0.0163428953383117
25%,-0.36487754084583784,0.3875282561042991,0.5333333333333333,3.0,5.0,0.0787093096878379,0.2906472140511628
50%,-0.25466035132606823,0.4405455277777178,0.6,3.5,11.0,0.11011777018132354,0.37295233635459
75%,-0.1453368241122613,0.49052726038591365,0.6666666666666666,3.9480958230958234,39.0,0.15385008395242034,0.45321421055852074
max,0.4842025352021058,0.8818478185145476,1.0,5.0,771.0,0.5177404961238304,0.8744906336069107
