ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
HHH,2016,11,3.1818181818181817,0,121,140
HHH,2017,16,3.9375,0,178,187
HHH,2018,5,3.8,0,77,72
HHH,2019,14,3.2142857142857144,0,258,507
HHH,2020,19,2.789473684210526,0,160,435
HHH,2021,22,3.608695652173913,0,305,321
HHH,2022,15,4.235294117647059,0,149,153
HHH,2023,17,3.8823529411764706,1,159,166
HHH,2024,14,3.7142857142857144,1,78,81
HHH,2025,10,3.0,1,106,192
HIW,2014,1,4.0,0,8,11
HIW,2015,7,3.4285714285714284,0,122,101
HIW,2016,5,4.0,0,54,38
HIW,2017,6,3.6666666666666665,0,84,59
HIW,2019,1,2.0,0,8,57
HIW,2020,3,3.6666666666666665,0,20,28
HIW,2021,6,4.0,0,33,46
HIW,2022,8,4.125,0,51,71
HIW,2023,7,3.5714285714285716,1,36,63
HIW,2024,5,4.0,1,108,132
HIW,2025,5,3.4,1,22,42
HPP,2014,1,2.0,0,13,32
HPP,2015,2,3.0,0,32,100
HPP,2016,8,4.5,0,498,158
HPP,2017,4,2.25,0,53,210
HPP,2018,6,3.5,0,56,144
HPP,2019,4,4.5,0,63,83
HPP,2020,1,3.0,0,9,10
HPP,2021,13,3.923076923076923,0,227,136
HPP,2022,18,3.611111111111111,0,191,169
HPP,2023,7,3.2857142857142856,1,70,97
HPP,2024,9,2.888888888888889,1,60,87
HPP,2025,5,2.8,1,32,52
HR,2016,3,2.6666666666666665,0,48,72
HR,2017,1,5.0,0,22,7
HR,2018,2,3.5,0,28,28
HR,2019,6,4.333333333333333,0,120,72
HR,2020,6,4.5,0,59,44
HR,2021,4,3.0,0,32,167
HR,2022,10,3.7,0,91,104
HR,2023,14,3.5,1,124,124
HR,2024,21,3.3333333333333335,1,174,257
HR,2025,9,3.3333333333333335,1,85,82
HST,2014,1,2.0,0,19,25
HST,2015,2,2.5,0,12,28
HST,2017,1,2.0,0,11,37
HST,2019,1,1.0,0,3,14
HST,2020,2,5.0,0,17,12
HST,2021,4,4.75,0,23,13
HST,2022,1,3.0,0,7,15
HST,2024,1,2.0,1,4,4
HST,2025,1,5.0,1,5,6
INN,2014,1,5.0,0,13,4
INN,2016,2,3.5,0,12,25
INN,2019,1,4.0,0,4,4
INN,2021,4,4.5,0,31,31
INN,2022,2,4.0,0,10,24
INN,2023,1,5.0,1,13,9
INN,2024,2,2.5,1,21,17
INN,2025,1,4.0,1,3,3
INVH,2014,28,2.5,0,393,656
INVH,2015,47,2.7346938775510203,0,560,1339
INVH,2016,48,2.6122448979591835,0,682,1441
INVH,2017,27,3.0714285714285716,0,216,352
INVH,2018,30,3.3870967741935485,0,299,406
INVH,2019,24,2.625,0,191,489
INVH,2020,21,3.1904761904761907,0,220,173
INVH,2021,95,4.181818181818182,0,1811,1088
INVH,2022,47,4.042553191489362,0,585,448
INVH,2023,45,3.217391304347826,1,328,737
INVH,2024,48,3.3137254901960786,1,436,887
INVH,2025,40,3.125,1,399,576
IRM,2023,15,2.933333333333333,1,349,453
IRM,2024,143,3.215686274509804,1,1149,1776
IRM,2025,96,3.1176470588235294,1,876,1413
IVT,2014,5,3.2,0,48,123
IVT,2015,6,2.1666666666666665,0,66,107
IVT,2016,1,4.0,0,14,15
IVT,2017,6,3.3333333333333335,0,90,112
IVT,2019,2,4.5,0,27,17
IVT,2020,1,4.0,0,4,5
IVT,2021,1,1.0,0,3,5
IVT,2022,9,4.555555555555555,0,171,71
IVT,2024,3,5.0,1,24,16
IVT,2025,1,3.0,1,3,3
JBGS,2014,5,4.2,0,64,40
JBGS,2015,9,4.222222222222222,0,123,94
JBGS,2016,7,3.7142857142857144,0,70,94
JBGS,2017,14,3.7142857142857144,0,135,185
JBGS,2018,17,3.3529411764705883,0,151,217
JBGS,2019,10,3.7,0,130,213
JBGS,2020,8,4.0,0,147,130
JBGS,2021,36,4.075,0,408,789
JBGS,2022,44,4.2,0,735,546
JBGS,2023,25,3.64,1,192,215
JBGS,2024,22,3.4545454545454546,1,191,220
JBGS,2025,7,3.7142857142857144,1,43,59
KIM,2014,5,4.4,0,53,42
KIM,2015,10,2.2,0,135,277
KIM,2016,8,3.125,0,129,193
KIM,2017,8,3.0,0,122,310
KIM,2018,5,3.2,0,46,34
KIM,2019,6,3.0,0,28,65
KIM,2020,10,4.0,0,82,104
KIM,2021,16,3.5625,0,102,109
KIM,2022,16,3.2941176470588234,0,104,218
