original_word,word,section,coef,t_stat,p_value,converged,mean_count,std_count,status
abandoned,abandon,pros,22.151862310007555,2.833842207356276e-06,0.999997738921055,False,0.0010351966873706,0.032157814838528,not_converged
ability,abil,pros,-14.22822396676082,-0.0011350689514286,0.9990943462026796,True,0.3074534161490683,0.9607657053535832,success
able,abl,pros,-15.041450582036385,-0.000812337913201,0.9993518481921873,True,0.3830227743271222,1.290305296139369,success
abound,abound,pros,2.5401390476339767,3.550351945681361e-06,0.9999971672289972,True,0.005175983436853,0.071757875054341,success
absent,absent,pros,-9.680225485932043,-1.2388085496533856e-06,0.9999990115737843,False,0.0010351966873706,0.032157814838528,not_converged
absolutely,absolut,pros,-14.070845728372996,-0.0010898817682952,0.9991304003361344,True,0.1066252587991718,0.4618102806839946,success
absorb,absorb,pros,7.677883941634884,1.1196405089399286e-05,0.9999910665612428,True,0.0020703933747412,0.0454544480333336,success
absurd,absurd,pros,0.0,0.0,1.0,False,0.0,0.0,zero_variance
abundant,abund,pros,-19.552900618040614,-5.874585268953101e-05,0.9999531275911548,True,0.0238095238095238,0.1832882900220129,success
abuse,abus,pros,2.5441437309125883,4.499357149559692e-06,0.9999964100323968,True,0.0082815734989648,0.0906255429740757,success
abysmal,abysm,pros,3.087184723974402,4.4992679879578124e-06,0.9999964101035376,True,0.0020703933747412,0.0454544480333336,success
accelerated,acceler,pros,2.2126912075894047,3.665330184751336e-06,0.9999970754896352,True,0.0072463768115942,0.0848166660197074,success
accept,accept,pros,-12.816995609016208,-0.0007449734635316,0.9994055972302212,True,0.0600414078674948,0.2957910374401191,success
access,access,pros,-16.085497245182882,-0.0009058549258588,0.9992772324391772,True,0.1532091097308488,0.4935663218222001,success
acclimated,acclim,pros,1.8258802316693652,4.382619366119662e-06,0.999996503175672,True,0.0020703933747412,0.0454544480333336,success
accommodate,accommod,pros,-12.992434002715765,-0.0007807768879072,0.999377030239002,True,0.0641821946169772,0.4145649318829928,success
accomplish,accomplish,pros,-13.8520201433485,-0.0008457532773918,0.9993251865981696,True,0.0662525879917184,0.3181205065634732,success
according,accord,pros,-19.6661195289685,-4.086263799329636e-05,0.9999673963320406,True,0.0113871635610766,0.1061013480928017,success
accordingly,accordingli,pros,-18.57275846718256,-3.0784337366827185e-05,0.9999754376525044,True,0.0072463768115942,0.0848166660197074,success
accounting,account,pros,-15.532284106402074,-0.0008537647197757,0.9993187943942896,True,0.1459627329192546,0.5172182869689932,success
accrued,accru,pros,-15.37167388895967,-7.938610848077494e-05,0.9999366590497676,True,0.025879917184265,0.1772606194139696,success
accrual,accrual,pros,4.76971757563597,8.95441935544541e-06,0.9999928554070454,True,0.0093167701863354,0.0960727223494287,success
accumulate,accumul,pros,-13.849616057467944,-1.3923082511797862e-05,0.9999888909874254,True,0.0072463768115942,0.0848166660197074,success
accurate,accur,pros,-19.10307047240409,-2.9314469298725905e-05,0.9999766104375416,True,0.0062111801242236,0.0785659046004566,success
accused,accus,pros,4.316373335149239,7.328798425829799e-06,0.9999941524648868,True,0.0010351966873706,0.032157814838528,success
achieve,achiev,pros,-13.244109007147026,-0.0010601313736141,0.9991541377030116,True,0.113871635610766,0.4895112279833379,success
