original_word,word,section,coef,t_stat,p_value
micromanagement,micromanag,cons,5.120738539031058,4.948786872172676,7.46774633081084e-07
bit,bit,cons,4.445279488604299,4.315552983025553,1.5920385958894998e-05
things,thing,cons,4.249086053377891,4.192064583893688,2.7642727259044284e-05
atmosphere,atmospher,pros,4.014137079181641,3.9261895616056064,8.630215099202058e-05
make,make,cons,3.984042602295923,3.9513351293252086,7.771640398205363e-05
team,team,pros,2.437372845375183,2.4275873664197727,0.0151996254840783
environment,environ,pros,2.315915624950619,2.305273188760207,0.021151278134875
