ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
AAT,2014,0.0,0.0,0.0
AAT,2015,0.0,0.0,0.0
AAT,2016,0.0,0.0,0.0
AAT,2017,0.0,0.0,0.0
AAT,2018,0.0,0.0,0.0
AAT,2019,0.0,0.0,0.0
AAT,2020,0.0,0.0,0.0
AAT,2021,0.0,0.0,0.0
AAT,2022,0.0,0.0,0.0
AAT,2023,0.0,0.0,0.0
AAT,2024,0.0,0.0,0.0
AAT,2025,0.0,0.0,0.0
ABR,2009,0.0,0.0,0.0
ABR,2012,0.0,0.0,0.0
ABR,2016,0.0,0.0,0.0
ABR,2017,0.0,0.0,0.0
ABR,2018,0.0,0.0,0.0
ABR,2019,0.0,0.0,0.0
ABR,2020,0.0,0.0,0.0
ABR,2021,0.0,0.0,0.0
ABR,2022,0.0,0.0,0.0
ABR,2023,0.0,0.0,0.0
ABR,2024,0.0,0.0,0.0
ABR,2025,0.0,0.0,0.0
ADC,2018,0.0,0.0,0.0
ADC,2019,0.0,0.0,0.0
ADC,2021,0.0,0.0,0.0
ADC,2022,0.0,0.0,0.0
ADC,2023,0.0,0.0,0.0
ADC,2024,0.0,0.0,0.0
ADC,2025,0.0,0.0,0.0
AHH,2011,0.0,0.0,0.0
AHH,2016,0.0,0.0,0.0
AHH,2017,0.0,0.0,0.0
AHH,2018,0.0,0.0,0.0
AHH,2019,0.0,0.0,0.0
AHH,2020,0.0,0.0,0.0
AHH,2021,0.0,0.0,0.0
AHH,2022,0.0,0.0,0.0
AHH,2023,0.0,0.0,0.0
AHH,2024,0.0,0.0,0.0
AHR,2022,0.0,0.0,0.0
AHR,2023,0.0,0.0,0.0
AHR,2024,0.0,0.0,0.0
AHR,2025,0.0,0.0,0.0
AHT,2015,0.0,0.0,0.0
AHT,2016,0.0,0.0,0.0
AHT,2017,0.0,0.0,0.0
AHT,2020,0.0,0.0,0.0
AHT,2021,0.0,0.0,0.0
AHT,2022,0.0,0.0,0.0
AHT,2023,0.0,0.0,0.0
AHT,2024,0.0,0.0,0.0
AHT,2025,0.0,0.0,0.0
ALEX,2008,0.0,0.0,0.0
ALEX,2014,0.0,0.0,0.0
ALEX,2015,0.0,0.0,0.0
ALEX,2020,0.0,0.0,0.0
ALEX,2021,0.0,0.0,0.0
ALEX,2023,0.0,0.0,0.0
ALX,2010,0.0,0.0,0.0
ALX,2020,0.0,0.0,0.0
ALX,2021,0.0,0.0,0.0
ALX,2024,0.0,0.0,0.0
AMH,2013,0.0,0.0,0.0
AMH,2014,0.0,0.0,0.0
AMH,2015,0.0,0.0,0.0
AMH,2016,0.0,0.0,0.0
AMH,2017,0.0,0.0,0.0
AMH,2018,0.0,0.0,0.0
AMH,2019,0.0,0.0,0.0
AMH,2020,0.0,0.0,0.0
AMH,2021,0.0,0.0,0.0
AMH,2022,0.0,0.0,0.0
