word,coef,t_stat,p_value,converged,mean_count,std_count,status,section
abandon,22.151862310007555,2.8338422073562762e-06,0.999997738921055,False,0.0010351966873706005,0.03215781483852809,not_converged,pros
abil,-14.22822396676082,-0.0011350689514286537,0.9990943462026797,True,0.30745341614906835,0.9607657053535831,success,pros
abl,-15.041450582036385,-0.0008123379132010396,0.9993518481921873,True,0.3830227743271222,1.290305296139369,success,pros
abound,2.5401390476339767,3.550351945681361e-06,0.9999971672289971,True,0.005175983436853002,0.07175787505434109,success,pros
absent,-9.680225485932045,-1.2388085496533856e-06,0.9999990115737845,False,0.0010351966873706005,0.03215781483852809,not_converged,pros
absolut,-14.070845728372996,-0.0010898817682952271,0.9991304003361345,True,0.10662525879917184,0.4618102806839946,success,pros
absorb,7.677883941634884,1.1196405089399286e-05,0.9999910665612428,True,0.002070393374741201,0.045454448033333636,success,pros
absurd,0.0,0.0,1.0,False,0.0,0.0,zero_variance,pros
abund,-19.552900618040614,-5.8745852689531004e-05,0.9999531275911547,True,0.023809523809523808,0.18328829002201294,success,pros
abus,2.5441437309125883,4.499357149559692e-06,0.9999964100323968,True,0.008281573498964804,0.09062554297407573,success,pros
abysm,3.087184723974402,4.4992679879578124e-06,0.9999964101035375,True,0.002070393374741201,0.045454448033333636,success,pros
acceler,2.2126912075894047,3.665330184751336e-06,0.9999970754896353,True,0.007246376811594203,0.08481666601970743,success,pros
accept,-12.816995609016207,-0.0007449734635316045,0.9994055972302212,True,0.060041407867494824,0.29579103744011914,success,pros
access,-16.085497245182882,-0.0009058549258588967,0.9992772324391772,True,0.15320910973084886,0.4935663218222001,success,pros
acclim,1.8258802316693654,4.382619366119662e-06,0.9999965031756719,True,0.002070393374741201,0.04545444803333365,success,pros
accommod,-12.992434002715763,-0.000780776887907295,0.999377030239002,True,0.06418219461697723,0.41456493188299287,success,pros
accomplish,-13.8520201433485,-0.0008457532773918,0.9993251865981695,True,0.06625258799171843,0.31812050656347324,success,pros
accord,-19.6661195289685,-4.086263799329636e-05,0.9999673963320406,True,0.011387163561076604,0.10610134809280178,success,pros
accordingli,-18.572758467182556,-3.0784337366827185e-05,0.9999754376525043,True,0.007246376811594203,0.08481666601970743,success,pros
account,-15.532284106402074,-0.0008537647197757926,0.9993187943942895,True,0.14596273291925466,0.5172182869689932,success,pros
accru,-15.37167388895967,-7.938610848077494e-05,0.9999366590497675,True,0.025879917184265012,0.17726061941396967,success,pros
accrual,4.76971757563597,8.95441935544541e-06,0.9999928554070454,True,0.009316770186335404,0.0960727223494287,success,pros
accumul,-13.849616057467944,-1.3923082511797862e-05,0.9999888909874254,True,0.007246376811594203,0.08481666601970742,success,pros
accur,-19.10307047240409,-2.9314469298725902e-05,0.9999766104375417,True,0.006211180124223602,0.07856590460045662,success,pros
accus,4.316373335149239,7.328798425829799e-06,0.9999941524648869,True,0.0010351966873706005,0.03215781483852809,success,pros
achiev,-13.244109007147026,-0.001060131373614116,0.9991541377030116,True,0.11387163561076605,0.4895112279833379,success,pros
acknowledg,-12.16790692020494,-0.000905811291653975,0.9992772672542214,True,0.036231884057971016,0.21758100763630073,success,pros
acquir,-17.86971035241196,-9.411455066558518e-05,0.9999249074531879,True,0.026915113871635612,0.16183538091811847,success,pros
acquisit,2.5449977177997667,8.718362001818592e-06,0.9999930437535633,True,0.031055900621118012,0.21114967506704257,success,pros
across,-15.004735007499528,-0.0008949024915825547,0.9992859712138473,True,0.17184265010351968,0.5530586138136481,success,pros
act,-16.874324874876102,-8.887134354268641e-05,0.9999290909271829,True,0.026915113871635612,0.16811033249522084,success,pros
action,-19.47342630085566,-7.420755106926297e-05,0.9999407909407612,True,0.038302277432712216,0.22655676242250675,success,pros
activ,-15.04332339099743,-0.0009394482124001203,0.9992504288859094,True,0.18840579710144928,0.7177937679443358,success,pros
actual,-14.512343024434164,-0.001036381483206054,0.9991730873634772,True,0.2463768115942029,0.9265814184915256,success,pros
adapt,-13.580617391918844,-0.0007616526591821157,0.9993922891613012,True,0.055900621118012424,0.3682274795099911,success,pros
add,-18.047245660563885,-6.969593232313569e-05,0.9999443906916936,True,0.039337474120082816,0.21941286225661574,success,pros
addict,0.0,0.0,1.0,False,0.0,0.0,zero_variance,pros
addit,-14.40051954499396,-0.0011989255777477795,0.9990433960211375,True,0.12318840579710146,0.5171395482162842,success,pros
address,-20.398503141552478,-6.516220617851692e-05,0.9999480080817791,True,0.026915113871635612,0.1681103324952208,success,pros
adequ,-20.700075105255706,-4.0871353522438485e-05,0.9999673893780544,True,0.027950310559006212,0.19370353009784647,success,pros
adher,-19.75719408341267,-2.767720686689424e-05,0.9999779167839575,True,0.005175983436853002,0.07175787505434109,success,pros
