title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned
Mission-Driven Industry Leader with Great People and a Few Growing Pains,5.0,2025-05-26,"Prologis is the clear leader in its space, with a product and reputation that customers love. The company has strong ethical standards, led by principled leadership that prioritizes integrity in deal-making. The CEO is both sharp and approachable, setting a thoughtful tone from the top. Offices are beautiful, and employee benefits and events are well thought out. Workplace flexibility is real—most teams are empowered to choose how they work best. I genuinely enjoy working with my teammates and managers; the people here are kind, smart, and collaborative.","Compensation doesn’t always feel competitive given the caliber of talent and the company’s performance. Some senior leaders could be more engaged in fostering individual's growth and management development. New business lines sometimes launch without the necessary resourcing or clear strategic alignment, which can create inefficiencies and internal churn.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is the clear leader in its space, with a product and reputation that customers love. The company has strong ethical standards, led by principled leadership that prioritizes integrity in deal-making. The CEO is both sharp and approachable, setting a thoughtful tone from the top. Offices are beautiful, and employee benefits and events are well thought out. Workplace flexibility is real—most teams are empowered to choose how they work best. I genuinely enjoy working with my teammates and managers; the people here are kind, smart, and collaborative.",prolog clear leader product reput custom strong ethic led principl leadership priorit integr deal ceo sharp set thought tone offic benefit event well thought workplac flexibl real team empow choos genuin enjoy teammat manag,"Compensation doesn’t always feel competitive given the caliber of talent and the company’s performance. Some senior leaders could be more engaged in fostering individual's growth and management development. New business lines sometimes launch without the necessary resourcing or clear strategic alignment, which can create inefficiencies and internal churn.",compens alway feel competit given calib talent senior leader engag foster individu growth manag new busi line sometim launch without necessari resourc clear strateg creat ineffici intern,Mission-Driven Industry Leader with Great People and a Few Growing Pains,mission driven industri leader great grow pain
Great company but the burnout is real,4.0,2025-05-28,They are a great company that is at the center of many innovative things. There are opportunities for advancement and your team will always help facilitate any movement if needed. Your managers and especially mine are knowledgeable and will do their best to help you succeed.,The burnout is real. So much work to do and so much outside of your typical responsibilities that keep you from getting to your day to day.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,They are a great company that is at the center of many innovative things. There are opportunities for advancement and your team will always help facilitate any movement if needed. Your managers and especially mine are knowledgeable and will do their best to help you succeed.,great center mani innov opportun advanc team alway help facilit movement manag especi mine knowledg best help,The burnout is real. So much work to do and so much outside of your typical responsibilities that keep you from getting to your day to day.,burnout much much outsid typic respons keep get day,Great company but the burnout is real,great burnout real
Pretty Good,4.0,2025-05-29,"Really good, benefits, culture & people",Work/life balance is not always honored.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Really good, benefits, culture & people",realli cultur,Work/life balance is not always honored.,life balanc alway,Pretty Good,pretti good
Great place to work,5.0,2025-06-05,Love working at a large company that feels small!,Many people need to be involved in decision making,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Love working at a large company that feels small!,love larg feel,Many people need to be involved in decision making,mani need involv decis make,Great place to work,great place
Great Place to Work,5.0,2025-06-10,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",Relatively high stress and pressure at times.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",challeng collabor talent team share vision manag valu employe encourag innov keep us ahead,Relatively high stress and pressure at times.,rel high stress pressur,Great Place to Work,great place
People love it here,5.0,2025-06-10,"Great culture, terrific leadership and the company has bold ambitions worldwide. An inspiring place to work and colleagues treat each other with respect.",There is a lot to do!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great culture, terrific leadership and the company has bold ambitions worldwide. An inspiring place to work and colleagues treat each other with respect.",great terrif leadership bold ambit inspir place colleagu treat,There is a lot to do!,lot,People love it here,love
Great Place to Work,5.0,2025-06-10,"They Walk the Walk
Strong Benefits
Opportunity for Advancement",A couple of antiquated software systems,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"They Walk the Walk
Strong Benefits
Opportunity for Advancement",walk walk strong benefit opportun advanc,A couple of antiquated software systems,coupl antiqu softwar system,Great Place to Work,great place
Great Company....,4.0,2025-06-10,Wonderful company culture and oh so many perks.,Endless meetings and at times unrealistic deadlines.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Wonderful company culture and oh so many perks.,wonder cultur oh mani,Endless meetings and at times unrealistic deadlines.,endless meet time unrealist,Great Company....,great
Time Flies when you love what you do,5.0,2025-06-12,"It’s true—time flies when you enjoy what you’re doing. The work is meaningful, the team is supportive, and the culture is collaborative and inclusive. What makes it even more rewarding is the real impact we have on the communities we serve. Grateful to be part of something that matters.","Lean organization with limited career advancement opportunities, but offers strong learning experiences and personal growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"It’s true—time flies when you enjoy what you’re doing. The work is meaningful, the team is supportive, and the culture is collaborative and inclusive. What makes it even more rewarding is the real impact we have on the communities we serve. Grateful to be part of something that matters.",true fli enjoy team cultur collabor make even reward real impact commun grate part someth,"Lean organization with limited career advancement opportunities, but offers strong learning experiences and personal growth.",lean organ limit career advanc offer strong learn experi person,Time Flies when you love what you do,fli love
Energizing People and Portfolios,5.0,2025-06-13,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together","Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together",prolog reward experi truli valu client show everyth appreci ground core valu passion teamwork alway look ahead embrac felt empow ask bold bring new idea forward collabor incred thought driven cultur support genuin prolog talk make live everi day togeth,"Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.",prolog move fast pace set high bar take adjust new industri use cross function environ expect proactiv incred requir stay sharp,Energizing People and Portfolios,energ portfolio
Prologis is a great place to work!,5.0,2025-06-13,"Culture - It's the reason I am still here after almost 13yrs. People - You will be challenged and pushed as you are surrounded by truly the best in the industry. Expect change, its a differentiator for us and our people and its constant... which means you will always be learnign something new. Innovative - We welcome new ideas and are eager to find better ways of doing things. This is a culture that welcomes innovative ideas that challenge the status quo. Offices - The offices are all newly remodeled and provide a welcoming, unique feel that attracts top talent in the markets we serve. Inclusive - We have an incredibly diverse workforce which provides a welcoming and inclusive work environment where all voices are welcomed and heard.","Challenging/Expect Constant Change - Not for everyone as we are looking for people who are willing to push themselves to maximize their potential and grow together. This is a place to create a career, not just have a job.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Culture - It's the reason I am still here after almost 13yrs. People - You will be challenged and pushed as you are surrounded by truly the best in the industry. Expect change, its a differentiator for us and our people and its constant... which means you will always be learnign something new. Innovative - We welcome new ideas and are eager to find better ways of doing things. This is a culture that welcomes innovative ideas that challenge the status quo. Offices - The offices are all newly remodeled and provide a welcoming, unique feel that attracts top talent in the markets we serve. Inclusive - We have an incredibly diverse workforce which provides a welcoming and inclusive work environment where all voices are welcomed and heard.",cultur reason still almost challeng push surround truli best expect differenti us mean alway learnign someth innov welcom new idea eager find better way cultur welcom innov idea challeng statu offic offic newli remodel provid uniqu feel attract top talent market inclus incred divers workforc provid welcom inclus environ voic welcom,"Challenging/Expect Constant Change - Not for everyone as we are looking for people who are willing to push themselves to maximize their potential and grow together. This is a place to create a career, not just have a job.",challeng expect constant chang everyon look will push maxim potenti grow place creat,Prologis is a great place to work!,prolog great place
A solid place to grow,5.0,2025-06-13,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.","The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.",prolog great gain valuabl grow continu organ commit innov oper alway seek way truli stand emphasi align role play enabl individu team,"The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.",environ fast pace constantli challeng prefer stabil,A solid place to grow,solid place grow
Amazing place to work!,5.0,2025-07-01,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",Middle management could use more training Upper management could encourage more of a work/life balance,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",beauti offic world great cultur leader smart lot innov opportun grow move around,Middle management could use more training Upper management could encourage more of a work/life balance,middl manag use train upper manag encourag life balanc,Amazing place to work!,amaz place
Chill work environment,5.0,2025-07-02,Definitely love the environment and very knowledgeable coworkers.,I would say the pay is not that competitive.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Definitely love the environment and very knowledgeable coworkers.,definit love environ knowledg,I would say the pay is not that competitive.,say pay,Chill work environment,chill environ
Great Place to Work,5.0,2025-07-16,"Very intentional about creating a culture of hardworking people that work well with others and fit the culture that has been created. There are a lot of opportunities for growth, as there are a lot of business units within our Industrial Real Estate business.","While Prologis industry leading and very intentional about diverse hiring while pursuing the most qualified individuals for the job, diversity is still low and is consistent with the industrial real estate industry.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Very intentional about creating a culture of hardworking people that work well with others and fit the culture that has been created. There are a lot of opportunities for growth, as there are a lot of business units within our Industrial Real Estate business.",intent creat cultur hardwork well other fit cultur lot opportun lot busi unit within industri real estat,"While Prologis industry leading and very intentional about diverse hiring while pursuing the most qualified individuals for the job, diversity is still low and is consistent with the industrial real estate industry.",prolog industri lead intent divers hire pursu qualifi individu divers still low consist industri real estat,Great Place to Work,great place
Industry Leader,5.0,2025-07-17,Great culture and innovative atmosphere,Understand your department wisely and career growth,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and innovative atmosphere,great cultur innov atmospher,Understand your department wisely and career growth,understand depart wise career growth,Industry Leader,industri leader
Amazing Company *ACTUALLY* Focused on Culture,5.0,2025-07-29,"The perks of being a Prologis employee are the ability to work with people who enjoy their job. Not necessarily every detail, but on the whole, there are more people who enjoy coming to the office here, than any place I've ever worked.",We don't own enough properties that I cannot bring all of my favorite co-workers from other previous employers to join me here.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The perks of being a Prologis employee are the ability to work with people who enjoy their job. Not necessarily every detail, but on the whole, there are more people who enjoy coming to the office here, than any place I've ever worked.",perk prolog abil enjoy necessarili everi enjoy come offic place ever,We don't own enough properties that I cannot bring all of my favorite co-workers from other previous employers to join me here.,enough properti cannot bring favorit co worker previou employ join,Amazing Company *ACTUALLY* Focused on Culture,amaz actual focus cultur
Great Company to Work For!,5.0,2025-08-11,"Prologis genuinely cares about its employees and is committed to supporting their growth and success. If you're looking for a company that invests in your career development, offers stability, and promotes a healthy work-life balance, this is the place to be.",I genuinely have no complaints - everything about my experience here has been positive.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis genuinely cares about its employees and is committed to supporting their growth and success. If you're looking for a company that invests in your career development, offers stability, and promotes a healthy work-life balance, this is the place to be.",prolog genuin care employe commit support growth look invest career offer promot healthi life place,I genuinely have no complaints - everything about my experience here has been positive.,genuin complaint everyth experi,Great Company to Work For!,great
Clique,2.0,2025-08-20,Good pay and nice offices,"people very cliquey, not kind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Good pay and nice offices,good pay nice offic,"people very cliquey, not kind",kind,Clique,cliqu
Could have been so much more...,4.0,2025-08-24,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,great manag style micromanag encourag allow home telecommunt compens competit great benefit,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,much emphasi check box often time conserv take risk mani senior manag tri drive process either fail align take long,Could have been so much more...,much
Horrible Place to Work,2.0,2025-08-26,They promote people fast if you are a part of their clique. Good work life balance if they like you.,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,They promote people fast if you are a part of their clique. Good work life balance if they like you.,promot fast part good life balanc,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in",worst experi blindsid poor perform given unhelp feedback made boss exclud spoke held grudg whenev made leadership encourag keep offer mentor lay six month vp incompet openli said horribl thing show favorit toward men leadership joke complet lack sure boss think good divers either accpet differ kind told fit,Horrible Place to Work,horribl place
I'm very happy to work here,5.0,2025-08-27,Great company with strong record of performance + supportive team + incredible boss + awesome compensation package.,"The 5-day work week. I wish we had the option to do (4) 10-hour days instead. Most companies don't have that, but it's the only con I can think of!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great company with strong record of performance + supportive team + incredible boss + awesome compensation package.,great strong record perform support team incred boss awesom compens,"The 5-day work week. I wish we had the option to do (4) 10-hour days instead. Most companies don't have that, but it's the only con I can think of!",day wish option hour day compani con think,I'm very happy to work here,happi
"High-speed, high-autonomy environment with the right balance of structure",5.0,2025-08-29,"A company where you can move fast, take ownership, and still count on solid support systems.",Fast-pace isn’t for everyone. Less hand-holding. Evolving processes can be tough to navigate. Workload balance can fluctuate. Not a fit for everyone.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"A company where you can move fast, take ownership, and still count on solid support systems.",move take still count solid support,Fast-pace isn’t for everyone. Less hand-holding. Evolving processes can be tough to navigate. Workload balance can fluctuate. Not a fit for everyone.,fast pace less hand evolv process tough workload balanc fit,"High-speed, high-autonomy environment with the right balance of structure",high high autonomi environ right balanc structur
Acquisitions and Development Analyst,5.0,2025-09-04,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",lot respons given team provid lot impact analyst first play signific role larg incred support cultur help learn open ask question incred rare find financ face role unbeliev exposur wide rang busi cusp innov commerci real estat ai real,- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,lot quarterli project analyst handl complet due larg public,Acquisitions and Development Analyst,acquisit develop analyst
Great people! Great place to work!,5.0,2025-09-04,"The people here are genuinely smart, dynamic, and passionate. The collaborative environment is very different from the competition you normally see in a bull pen. You are truly supported in what you do. One of the quotes at Prologis is ""Fail fast"", this means that it is great to make mistakes as long as you learn from them. It is a great place to grow!","Prologis is a very global company, so you would probably be working on a project overseas at some point - it can be difficult across time zones and connecting with people you have never met in person.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people here are genuinely smart, dynamic, and passionate. The collaborative environment is very different from the competition you normally see in a bull pen. You are truly supported in what you do. One of the quotes at Prologis is ""Fail fast"", this means that it is great to make mistakes as long as you learn from them. It is a great place to grow!",genuin collabor environ differ competit normal see bull truli support quot prolog fail fast mean great mistak long learn great place,"Prologis is a very global company, so you would probably be working on a project overseas at some point - it can be difficult across time zones and connecting with people you have never met in person.",prolog global probabl project oversea point difficult across zone connect never met,Great people! Great place to work!,great great place
The type of company you want to work at for decades,5.0,2025-09-05,"Dedicated, brilliant and engaged leadership team, amazing work-life balance, competitive pay and agile teams.","Not necessarily a con because it is just a part of being at such a fast-growing company, but there could be strong communication across business lines. This is something that the company is clearly working on as a part of its strategic growth of new business lines.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Dedicated, brilliant and engaged leadership team, amazing work-life balance, competitive pay and agile teams.",brilliant engag leadership amaz life competit pay agil,"Not necessarily a con because it is just a part of being at such a fast-growing company, but there could be strong communication across business lines. This is something that the company is clearly working on as a part of its strategic growth of new business lines.",necessarili con part fast grow strong commun across busi someth clearli part strateg growth new busi,The type of company you want to work at for decades,type want decad
Great people to work with and encouraging culture of learning,5.0,2025-09-05,-The people -Pay -Culture -Professional growth,-in office mandate -long commute,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,-The people -Pay -Culture -Professional growth,pay cultur profession growth,-in office mandate -long commute,offic mandat long commut,Great people to work with and encouraging culture of learning,great encourag cultur learn
Really impressed with this company,5.0,2025-09-08,"After spending a decade in big tech, I was surprised to find a company that takes many of the great attributes and leaves the negative aspects of many other big Silicon Valley corporations (in my experience since being here 1.5 years). From the comprehensive (and fun!) multi-day, in-person onboarding trainings, to company-wide volunteer days (IMPACT Day), social events that embrace different cultures and celebrate diversity - Prologis is a company that invests in its employees. I also appreciate that it routinely asks employees what it can do better, and listens. Teams are continually driving towards excellence - whether that’s finding a more effective process or implementing new technology to help teams work smarter. But in my experience, being “human” is still valued. People lead with kindness and empathy in a way that feels really genuine. The cascading effect creates a team dynamic that is pretty rare in my experience.","For those that love remote work, we’re currently in the office 3x/week (may vary based on the team). At least the snacks are good :)","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"After spending a decade in big tech, I was surprised to find a company that takes many of the great attributes and leaves the negative aspects of many other big Silicon Valley corporations (in my experience since being here 1.5 years). From the comprehensive (and fun!) multi-day, in-person onboarding trainings, to company-wide volunteer days (IMPACT Day), social events that embrace different cultures and celebrate diversity - Prologis is a company that invests in its employees. I also appreciate that it routinely asks employees what it can do better, and listens. Teams are continually driving towards excellence - whether that’s finding a more effective process or implementing new technology to help teams work smarter. But in my experience, being “human” is still valued. People lead with kindness and empathy in a way that feels really genuine. The cascading effect creates a team dynamic that is pretty rare in my experience.",spend decad big surpris find take mani great attribut leav neg aspect mani big silicon valley corpor experi sinc year comprehens multi person onboard wide volunt day impact day social event embrac differ cultur celebr divers prolog invest appreci routin ask employe team continu drive toward excel whether find effect process implement new technolog help team human still lead kind empathi way feel realli cascad effect creat team dynam pretti rare,"For those that love remote work, we’re currently in the office 3x/week (may vary based on the team). At least the snacks are good :)",love remot current offic week may vari base team least snack good,Really impressed with this company,realli impress
A great company to work for!,5.0,2025-09-08,"Career growth opportunities, fast-paced company, engagement and support for the employee resource groups, great benefits, transparent leadership, very nice offices, passionate and driven employees",It's a lean organization which has its pros and cons at times,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Career growth opportunities, fast-paced company, engagement and support for the employee resource groups, great benefits, transparent leadership, very nice offices, passionate and driven employees",career growth fast pace engag support resourc great transpar nice passion driven employe,It's a lean organization which has its pros and cons at times,lean organ pro con time,A great company to work for!,great
Great Company,5.0,2025-09-10,Culture is great. Coworkers are amazing. Great Benefits as well.,"Lots of data just floating in the ether. Sometimes if you ask two people the same question related to data, the answers will be different if retrieved from internal database.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Culture is great. Coworkers are amazing. Great Benefits as well.,cultur cowork great benefit,"Lots of data just floating in the ether. Sometimes if you ask two people the same question related to data, the answers will be different if retrieved from internal database.",lot data float sometim ask two question relat answer differ retriev intern,Great Company,great
So many opportunities!,5.0,2025-09-15,-Supportive and collaborative colleagues -Wide range of career growth opportunities -Excellent benefits package -Engaging and enjoyable office events -Modern and well-designed office spaces -Leadership that genuinely values and supports employees,"I'm still fairly new, so no cons so far...","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,-Supportive and collaborative colleagues -Wide range of career growth opportunities -Excellent benefits package -Engaging and enjoyable office events -Modern and well-designed office spaces -Leadership that genuinely values and supports employees,support collabor colleagu wide rang career growth opportun excel benefit packag engag enjoy offic event modern well design offic space leadership genuin valu support employe,"I'm still fairly new, so no cons so far...",still fairli con,So many opportunities!,mani
Great company,5.0,2025-09-17,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,outsiz global impact size innov keep employe energ leadership priorit commun highli focus nurtur strong,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.",sign time specif recogn sometim feel life balanc manag pay close attent ensur employe feel support manag workload fast excit,Great company,great
10/10 company to work for,5.0,2025-09-18,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees","None come to mind, truly a great place to work!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees",career advanc upward seamless cross team trust instil employe,"None come to mind, truly a great place to work!",none come truli great place,10/10 company to work for,
Best Company Ever!,5.0,2025-09-18,"Great culture, brilliant and hardwokring colleagues, thoughtful leadership, entrepreneurial spirit, great benefits",Nothing worth noting company wide,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great culture, brilliant and hardwokring colleagues, thoughtful leadership, entrepreneurial spirit, great benefits",great brilliant hardwokr thought entrepreneuri great benefit,Nothing worth noting company wide,noth worth note wide,Best Company Ever!,best
Strong culture and teamwork,5.0,2025-09-22,Prologis’ strong culture makes me proud to work here and motivates me to bring my best every day. Teamwork is built on trust and open communication.,"There is opportunity to strengthen cross-functional collaboration and relationships,","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Prologis’ strong culture makes me proud to work here and motivates me to bring my best every day. Teamwork is built on trust and open communication.,prolog strong cultur make proud motiv bring best everi teamwork built trust open,"There is opportunity to strengthen cross-functional collaboration and relationships,",opportun strengthen cross function collabor,Strong culture and teamwork,strong cultur teamwork
Prologis is a great place to work!,5.0,2025-09-25,"I have only been here for a couple months but the culture at Prologis is amazing! It truly feels like a connected team and everyone is very willing to help/support each other. Given the scale and size of the company, the opportunities for growth or development are endless, especially if you have a natural curiosity to explore potential solutions. The benefits package far exceeds any of my previous employers.",Work from home is available and possible but given the need for significant team interaction and culture development there is limited work from home opportunities,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"I have only been here for a couple months but the culture at Prologis is amazing! It truly feels like a connected team and everyone is very willing to help/support each other. Given the scale and size of the company, the opportunities for growth or development are endless, especially if you have a natural curiosity to explore potential solutions. The benefits package far exceeds any of my previous employers.",coupl month cultur prolog truli feel connect team everyon will help support given scale size opportun growth develop especi natur curios explor potenti benefit packag far exce previou,Work from home is available and possible but given the need for significant team interaction and culture development there is limited work from home opportunities,home avail possibl given need signific team interact cultur develop limit home opportun,Prologis is a great place to work!,prolog great place
