title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
Great Company with Great Culture,2025-04-21,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.","Fast paced, even in the ""slow"" times, workloads can be overwhelming.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.",growth geograph divers mani opportun career like promot cultur team good compens support,"Fast paced, even in the ""slow"" times, workloads can be overwhelming.",fast even slow workload,Great Company with Great Culture,great great cultur,0.26932018995285034,0.008908319287002087,0.7217714786529541,0.2604118585586548,neutral,1,0,0.07692307692307693
The best people = a great company!,2024-09-17,"Top notch people, excellent leadership and industry leading business practices.",I dont really see cons for working at Prologis. Its a great company to work for!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Top notch people, excellent leadership and industry leading business practices.",top notch excel leadership industri lead busi,I dont really see cons for working at Prologis. Its a great company to work for!,dont realli see con great,The best people = a great company!,best great,0.39967331290245056,0.010984797030687332,0.589341938495636,0.38868850469589233,neutral,0,0,0.0
Great Company....,2025-06-10,Wonderful company culture and oh so many perks.,Endless meetings and at times unrealistic deadlines.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Wonderful company culture and oh so many perks.,wonder cultur oh mani,Endless meetings and at times unrealistic deadlines.,endless meet time unrealist,Great Company....,great,0.09123265743255615,0.030817653983831406,0.8779496550559998,0.06041500344872475,neutral,0,0,0.0
Purpose-Driven Company That Invests in People and Culture,2025-05-23,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,strong leadership transpar commun support inclus cultur commit sustain commun impact gener benefit well resourc growth opportun mentorship program,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.",fast pace prioriti shift quickli part keep look place incred prolog,Purpose-Driven Company That Invests in People and Culture,purpos driven invest cultur,0.4063882827758789,0.008986879140138626,0.5846248865127563,0.3974013924598694,neutral,3,0,0.15789473684210525
Great Place to Work,2025-06-10,"They Walk the Walk
Strong Benefits
Opportunity for Advancement",A couple of antiquated software systems,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"They Walk the Walk
Strong Benefits
Opportunity for Advancement",walk walk strong benefit opportun advanc,A couple of antiquated software systems,coupl antiqu softwar system,Great Place to Work,great place,0.5842610597610474,0.010035227984189987,0.40570372343063354,0.5742258429527283,positive,2,0,0.3333333333333333
Could have been so much more...,2025-08-24,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,great manag style micromanag encourag allow home telecommunt compens competit great benefit,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,much emphasi check box often time conserv take risk mani senior manag tri drive process either fail align take long,Could have been so much more...,much,0.14753267168998718,0.011652178131043911,0.8408151268959045,0.1358805000782013,neutral,1,0,0.08333333333333333
Great company,2025-09-17,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,outsiz global impact size innov keep employe energ leadership priorit commun highli focus nurtur strong,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.",sign time specif recogn sometim feel life balanc manag pay close attent ensur employe feel support manag workload fast excit,Great company,great,0.10897421091794968,0.016606859862804413,0.8744188547134399,0.09236735105514526,neutral,1,0,0.06666666666666667
"Innovative, Inclusive and Inspiring Workplace!",2025-03-19,"Having been at Prologis for over 10 years, I can confidently say this company has provided me with incredible career growth opportunities. From day one, I have been surrounded by talented, driven professionals who challenge and inspire me to do my best. The culture here is second to none—collaborative, innovative, and supportive of employees at all levels. Compensation has always been fair and competitive, reflecting both market standards and the value the company places on its people. Being part of the industry leader in logistics real estate has been an exciting journey, and I am proud to contribute to a company that continually strives for excellence.",Hard to state anything negative- Prologis is the best!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Having been at Prologis for over 10 years, I can confidently say this company has provided me with incredible career growth opportunities. From day one, I have been surrounded by talented, driven professionals who challenge and inspire me to do my best. The culture here is second to none—collaborative, innovative, and supportive of employees at all levels. Compensation has always been fair and competitive, reflecting both market standards and the value the company places on its people. Being part of the industry leader in logistics real estate has been an exciting journey, and I am proud to contribute to a company that continually strives for excellence.",prolog confid say provid incred career growth day surround driven profession challeng inspir cultur second none support employe compens alway fair reflect market standard valu place part industri leader logist real estat excit proud contribut continu strive,Hard to state anything negative- Prologis is the best!,hard state anyth neg prolog,"Innovative, Inclusive and Inspiring Workplace!",inclus inspir,0.1848072111606598,0.01848490722477436,0.7967079281806946,0.16632230579853058,neutral,1,0,0.02702702702702703
Ahead of the pack,2024-09-04,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!","Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!",level includ visionari cultiv cultur founder own manag prolog remain deepli align core strong cultur give back add sens purpos global leader real prolog forefront make excit place highli,"Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.",prolog fortun thrive need dedic think servic environ fast pace challeng readi take ownership drive,Ahead of the pack,ahead pack,0.6324416995048523,0.016332415863871574,0.35122591257095337,0.616109311580658,positive,1,0,0.034482758620689655
"Good benefits, stable company",2025-04-05,"Decent WLB, depending on team of course. Good benefits","Lots of red tape, tough to get things done across teams.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Decent WLB, depending on team of course. Good benefits",decent depend team good benefit,"Lots of red tape, tough to get things done across teams.",lot red tough thing done across,"Good benefits, stable company",good stabl,0.4770926535129547,0.024004366248846054,0.49890294671058655,0.45308828353881836,neutral,1,0,0.2
