title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Amazing and Caring,5.0,"Nov 7, 2025",Work Life balance is extremely good Promote from within primarily Flexible and understanding Great Culture and amazing company values,Training is rapid and could do with more thoroughness Sometimes the pay does not seem adequate for the work completed day in and day out,"Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Review after Promotion,5.0,"Oct 30, 2025","I truly enjoy this job. Yes, it can be challenging, but I do enjoy a good challenge. I believe the company as a whole is a great company. Yes, you have to have hard conversations with customers, but there is training to help you have those conversations. I think it is wonderful that the company looks within for top tier talent to promote. You make your own way with this company. If you want to move up the ladder, it is up to you to drive that development.","There are not many I can think of. Oh, working Saturdays.","Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Not a bad business,4.0,"Oct 31, 2025","you work alone most of the time, the live on site apartment, building customer relationships, the district meetings are amazing, the benefits are pretty good","Sometimes you hardly get coverage, your looked at as just a number, it’s actually really hard to get the correct help sometimes, pay is not enough for what they expect you to do and deal with, they will fire you without proof,","Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Benefits are decent,3.0,"Nov 4, 2025","Usually get left alone after hours. Property is usually easy to maintain. Some tenants are cool Offers decent insurance Once you've spent 10 years here, you roll up PTO pretty quick but they will cap you",New people get hired on at what you make after 10 years. Management cackled when I asked for a raise. Be prepared to be the verbal punching bag after your tenants recieved $100 rate increases. You will clean up more human fecal matter than you ever thought feasible.,"Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Field Operations Review,4.0,"Oct 26, 2025","Benefits, premiums not ideal but fair. Salary is better than a lot of competitors Great for employees who want minimal supervision, take ownership, and challenge themselves. Majority of time off request are granted if you have PTO","While there are numerous training resources, its driven to be self motivated. Use your senior course team to interact and uplift team members in all areas not only financial results. Very narrow room for advancement in current structure","Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
My input to working for Extra Space,5.0,"Nov 3, 2025","If you love to work with people and satisfy to all their needs this is the place. Great pay, Excellent Team, Work hard and earn your bonuses. I have been here 5 years and love my job.","Trying to get delinquent tenants to pay. With hard times we are in, you have to be sympathetic yet provide excellent customer service when trying to collect debt. No one wants their personal items auctioned off.","Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Pleasant Work Experience,5.0,"Oct 7, 2025",My DM has BY FAR been the best manager I had out of all of the jobs I've had. It is refreshing to see a manager that cares for the employee first and will genuinely have our backs but is not afraid to correct us when we need.,"Just the normal confrontation you get with customers when they get a rate increase, but that is apart of our duty and it has taught me to stand up for myself and articulate in an empathetic way to the customer why they got an increase.","Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
A rewarding first year with Extra Space Storage,5.0,"Oct 30, 2025",Supportive and collaborative team environment Strong focus on customer service and operational excellence Clear training programs and opportunities to learn Leadership that genuinely values feedback and employee growth,Fast-paced environment can be challenging at times Some processes could be streamlined as the company continues to grow Hourly wages could be a little higher depending on locations and states,"Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Extra Space is an amazing company,5.0,"Nov 4, 2025","-Great training and onboarding process -Very helpful coworkers -Supportive environment with opportunities to grow career and learn more skills -soda machines, coffee/tea/hot chocolate and snacks available",I have not found any cons in the time I have been here.,"Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
Best Customer Service,5.0,"Nov 5, 2025",The Staff is always friendly and professional The facility is clean and secure Easy access and smooth move in process,Price can go up after a few months,"Extra Space Storage, Inc.",EXR,2025-11-11,https://www.glassdoor.com/Reviews/Extra-Space-Storage-Reviews-E35227.htm
