title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
"Cool company, Poor culture",3.0,"Aug 7, 2022",Lots of freedom to take on projects your interested in,extremely poor communication company wide,NexPoint Real Estate Finance,NREF,2025-11-11,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Great place to work!,5.0,"Jun 30, 2022","Opportunities for growth
Great people to work for/with",I have no complaints whatsover!,NexPoint Real Estate Finance,NREF,2025-11-11,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Solid company,3.0,"Mar 1, 2021",Commission can pay well during good times,Managment and the transparency within the company,NexPoint Real Estate Finance,NREF,2025-11-11,https://www.glassdoor.com/Reviews/NexPoint-Reviews-E2602013.htmhtm
Enjoying My Time With The Company,5.0,"Sep 20, 2024","Growth, Opportunities, & meeting employees & tenants.","Wish we could just work Monday thru Friday, cause Saturday's are really slow.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Bad CEO,2.0,"Jul 23, 2025","Depending on your team, you might be surrounded by good people Remote Work Publicly traded company so higher level access and opportunities","Some teams are not only resistant to working together, but they will actively try to blame your dept and throw you under the bus. Lack of communication is horribly obnoxious. Company continues to try to grow without having a stable foundation. CEO throws his power around and affects the entire company poorly. He refuses to listen to other people or admit when he has made bad choices, preferring to double down and dig the company into a deeper hole. Overworked and underpaid for the amount of effort you put in.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Better oportunites elsewhere,1.0,"May 2, 2025",Working with your team. not much esle,As an area manager your day is typically spent putting out fires. You are dragged to and fro just trying to stay afloat with constant immediate priority task. Your nights will be spent trying to catch up on administrative work from the day before. your weekends are spent on adminstrative and payroll based task as well as answering priorty calls from the call center. You will not have a day off. You are expected to be in stores all day monday through friday. They strongly encourage you to be in stores saturday. If one of your managers are off you are expected to cover that store. if more than one is off you are expected to cover all of them. All your stores will have low staffing and few if any contengency managers. Culture is toxic overall. It is focused on accountability particularly for regional managers or below. The only excuse why something did not get completed is that you failed and nothing else matters. Need to be in 3 different places at once and work 16 plus hours days. Thats not an excuse not to get another thing done. They will send you out test asking you take a picture in front of an object in front of your store within 30 minutes to verify you are there. Upper management is obsessed with change. you will constantly get bombarded with new systems and processes. These are not veted before you get them so there will be bugs. Current push is mobility. AMs no longer get laptops or cellphones. Everything must be done through a tablet or an AM's personal phone.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
It pays the bills,3.0,"Jul 16, 2025",Get to work with an amazing team. Tenants are colorful. Work/life balance...off by 6p and no Sundays.,"Always adding extra ""to-do"" and it outweighs the compensation. Asked for a raise in January and 7 months later it is ""still being reviewed"". Always chasing down accounts payable for vendor payments.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Benefits,3.0,"Aug 3, 2025","No night time hours, done by 6. Mostly unsupervised but must keep up your numbers and property.","Medical Benefits are terrible, no major medical. Accrual of vacation time is slow.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
A little spineless,1.0,"Apr 30, 2025",Overall the storage industry is stressless.,"Well ... considering I was terminated for having an ""inappropriate conversation"" that they wouldn't tell me what I was accused of saying? At least it could've been a growth opportunity. Also, my computer was being monitored by another mgr. remotely, why I don't know? Several customers reported break ins with no visible entry nor reason for a red lock?",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Great growth potential,4.0,"Apr 30, 2025",They provide training and skills to grow inside the company.,"I would of said more paid time off, but they listened to us and came thru.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
