title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
No Structure,2.0,"Apr 25, 2017","You can pretty much do whatever you want, because there are no standards no one is held accountable so it is pretty hard to get fired. Just show up and you are doing better than most.","Same as the Pro, if you are an over-achiever then you will sucked dry while you compensate for those around you.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Really bad Sr Management,1.0,"Jul 31, 2014",The employees who are trying hard to do the right thing,"It is time for the Board of Directors to do the right thing and allow this Publuc Company to be run like one. Currently it is being run (to quote the man with the dog) ""with a Wall Street ATM"" ..........thiis needs to STOP! The potential is enormous if the nepotism was removed and a strong responsible Management team was in place. How many more Vice Presidents will you lose before you wake up.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Culture Changed on 1/18/2022,5.0,"Aug 25, 2022","The CEO change on 1/18/2022 fixed a ton of issues commented on in prior posts. The company now has a cohesive, fun team and steady supportive management. The team is excellent at getting things done and allowing individuals to succeed.",Small company with ~90 people means sometimes you don't have the same breadth of opportunity versus a larger corporation.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Proceed with CAUTION!,1.0,"Aug 15, 2015","A paycheck for the time being, health insurance","Upper management, CEO & CEO wife, didn't hold to commission payouts like promised",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Run the other direction,1.0,"Feb 9, 2016","A few quality workers, unfortunately they are over looked.","Below market pay, no training unless you call rolling your sleeves up and figuring out yourself. No support from upper management, just excuses of I am really busy, no wonder they have a high turn over and placement agencies that don't like to work with them.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
building engineer,2.0,"Jun 13, 2016",Good people in company if given a chance to succeed,Hard to advanve within the company . Not organized,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Good Co-Workers Broken System,2.0,"Mar 6, 2017","There were several smart, diverse and passion driven coworkers at Whitestone.",No training and employee turnover,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Excellent Company and Culture,5.0,"Mar 27, 2021",The leadership team is very supportive. The office culture is great and all team members work well together.,I have no cons to list.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Mom and Pop Shop,1.0,"Jan 27, 2016",great and friendly non-management people. On the road to creating good company culture.,"The benefits are terrible and so is the HR department. Management is highly inconsiderate of non-management employees. There are many long drawn out meetings, and there is absolutely no work life balance.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Leasing Agent,3.0,"Oct 2, 2015",Good learning experience right out of college.,Pay is bad...low commissions.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
LOVE MY JOB,5.0,"Mar 10, 2021",Great coworkers. A company that cares. Great senior management & Boss. Great HR department.,Can't think of any cons,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great Company To Work For,5.0,"Apr 8, 2021",Good company to work for,Nothing I can think of,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great Company,4.0,"Nov 11, 2015",Employees are sweet and helpfull,Processes need improvement. Increase tech uses.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great!,3.0,"Oct 4, 2021",Great culture... Good benefits... Learn a lot...,Limit as to how far you can grow within the company.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
WHITESTONE REIT ROCKS!,5.0,"Jun 27, 2021",Very family oriented and loving company,N/A-I have nothing negative to say,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Very good,4.0,"Jun 10, 2020",Benefits are very good. Health insurance,Long hours. No room for growth,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Enjoy working here,4.0,"Nov 30, 2022",Ability to make a difference,Corporate culture sometimes gets old,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Awful,1.0,"Sep 1, 2022",The only thing that was okay about working here were the benefits.,You'll be overworked and not compensated fairly. I had to get therapy after this job since it took a significant toll on my mental health.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
General overview,1.0,"May 30, 2015",This is a way to gain career entry into the REIT industry.,"HIgh turnover rate. General distrust of senior management. Minimal benefits, cost-cutting efforts abound.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Toxic,1.0,"Mar 18, 2022",Good coworkers and benefits. That is it,Toxic and disrespectful culture coming from top management. Long work hours.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Terrible place to work.,1.0,"Feb 27, 2021",They provide a low salary,Too many to even list,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Paranoid work environment,1.0,"Feb 18, 2014",Houston office on Westheimer near Beltway 8 in Westchase.,"Long working hours, low compensation.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
