title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good culture,5.0,"Nov 25, 2024",Good culture at Ladder Capital,I have no cons for this job.,Ladder Capital Corp,LADR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ladder-Capital-Realty-Finance-Reviews-E354261.htm
Would not recommend employment here for anyone seeking a positive experience,2.0,"Sep 22, 2017",You learn a lot but come out a worse person,"Work too much, no camaraderie, management is selfish, HR doesn't exist, work environment is unhealthy",Ladder Capital Corp,LADR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ladder-Capital-Realty-Finance-Reviews-E354261.htm
Staff Accountant,5.0,"Jun 6, 2018",Very Laid Back and Relaxed. Free seamless credit,No real cons in my opinion. Very relaxed culture,Ladder Capital Corp,LADR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Ladder-Capital-Realty-Finance-Reviews-E354261.htm
