title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Run away from COPT!,1.0,"May 23, 2018","They do have excellent benefits, time off, and events.","They are NOT family friendly. Although they give you plenty of time off, they question every single time you take off and give you a hard time. The mentality is very ""corporate squared"" and they love to micro-manage. Specifically the marketing department is a ROYAL MESS. They lack project management, organizational strategies, they have 0 knowledge of what it takes to develop material for the company and the management hierarchy is completely off. It is a nest of gossip! They will rip apart a coworker for the stupidest things. If I would have known how awkward and unorganized, I would have never worked for them! They've had two people in a row walk out on them... that means something! Do yourself a favor and keep scrolling past their job postings.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Used to be a great company,1.0,"Aug 9, 2016",The long time employees who are still there are good people. Flexible work arrangements.,"3 CEO's in 6 years and numerous reorganizations have caused this company to lose its family feel. The customer, which used to be the number 1 priority, has been pushed behind the shareholders and stock price. Cost cutting and doing more with less is the new norm. Many of the ""old guard"" leadership has been purged and new management don't share original values.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Terrible communication by the top management,2.0,"Feb 15, 2023",I would not like to lie here and mention anything here. The overall experience was pretty bad. You can stay away,"THE TOP MANAGEMENT WAS TERRIBLE AT COMMUNICATION. THEY DIDN'T COMMUNICATE IMPORTANT STUFF, AND HALF OF IT GOT LOST SOMEWHERE. IT CREATED CHAOS AND UNWANTED COMMUNICATION GAPS that could have been east to avoid. It was awful! THE SALARY AND GROWTH OPTIONS WEREN'T TOO GOOD EITHER. YOU CN TAKE TONS OF WORK STRESS, WORK TO THE POINT OF EXHAUSTION AND WORK BRUTAL HOURS FOR NOTHING. IT WAS RIDICULOUS!",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Fantastic to work for,5.0,"Jul 3, 2021","Great work life balance! Clear paths for advancement, fantastic benefits, upper management is accessible and open to all employee opinions, criticism etc",I don’t have many complaints. Working on property management means you have to be available to the tenant when they need it. However the company is very good at compensating time spent when that happens.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
The constant fear and intimidation tactics used by them created a culture of mistrust,1.0,"Jan 23, 2023",The cleanliness and organization of the office contributed to a positive and productive atmosphere. The modern amenities and ergonomic furniture made it a pleasure to work in.,"This terrible company had a toxic work environment, where the well-being and job satisfaction of employees were not a priority for the CEO and management. The constant fear and intimidation tactics used by them created a culture of mistrust, and the constant lies, and deceit made it clear that they had no regard for their employees.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
COPT,5.0,"Mar 7, 2017",COPT is truly a great company to work for. Professional and friendly atmosphere. Beautiful and clean working environment. The benefits are amazing and they are the best I've ever experienced. Flexible hours and ability to work remotely if needed. Quarterly Earning calls to keep you informed on the growth of the business and regular departmental meetings to keep you working together as a team and keep you engaged.,There are no downsides to working with this company.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Most toxic culture I've ever beem a part of.,1.0,"Dec 25, 2022","If you get into the right department with the right bunch of people, then it's a great place to work.","Without a doubt the most toxic culture I've ever been a part of Leadership is unhelpful, condescending and greedy. They promote people with big egos and presonality issues. Unless you are willing to play the games and pretend to buy into the BS you will quickly find you are boxed into a group or position with no chance of leaving. I feel bad for the kind and hard working people that are still there and suffering. Avoid this company at all costs.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Clerical Assistant,1.0,"Aug 25, 2018","Exceptional design and cleanliness to the Columbia office building. The CEO there at the time Mr. Griffin was very personable, smart and diligent.","This was by far my worst job ever. I was offered a job as a low-level clerical assistant working with the two teams, the legal department and investments team. This was my first full time job straight out of college and I absolutely dreaded coming to work everyday. I would go weeks without seeing my manager for the investments team, so many worked and assisted the legal team. The assist I worked under was the executive assistant to the VP of Legal and she did nothing but all day but suck up to her boss while talking about her behind her back and boss me around. She treated me very awful, and would raise her voice to me over little things I did wrong to the point where I would go home crying every day. But, at the same time I felt bad for her because she would be treated twice as as worse by the VP, so most days I let it go. The remaining members of the legal team I worked under were extremely pretentious, rude and unprofessional. I left after only 6 months of being employed there and I decided to resign after I met with my two bosses VP of Legal and VP of Investments for my three month performance evaluation, which conveniently took place 5 months into my employment. At that time they decided to advise me that my performance was subpar and I was taking too much time off from work, mind you I had braces on at that time and needed to visit the Orthodontist pretty often. They explained I was negative and rude to my counterparts, and at that time they were probably right because I had had enough with my coworkers yelling at me and treating me that way. Needless to say I finally got out, six months too long. I’ve had several jobs since that one and no other job I’ve ever been in has ever come close to how bad this one was.",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
"The daily struggles were real, and exhausting!",2.0,"Nov 4, 2022","Ok pay, coworkers work with each other well even better than working with the managers.","If you're dreaming of an ideal job with workalike balance, know that this is NOT it! The daily struggles were real, exhausting, and EXTREMELY stressful! Working more than 12 hours a day doesn't seem enough for our manager and looks us as if we're lazy and lack dedication for our work! It's RIDICULOUS!",COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
Wonderful Company (Was),5.0,"Jul 8, 2016",Good work-life balance for most. Plenty of opportunities to advance. Financially sound. Good reputation.,Change in senior level management in recent years more focused on financials tied to their bonuses than maintaining employee satisfaction. Unfortunately culture has changed.,COPT Defense Properties,CDP,Office,2025-11-21,https://www.glassdoor.com/Reviews/Corporate-Office-Properties-Trust-Reviews-E5027.htm
