title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Good place,5.0,"Apr 10, 2025",Good work life balance and benefits,"no, nothing to complain about","NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
great job,3.0,"Sep 7, 2023","great job, never head a problem","very fast paste, hard to take a break","NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
Very Black and White Company - No Grey allowed!!,3.0,"Aug 27, 2015",Great company. 40 hour work weeks. Great for a 9-5er. Long stable company.,"Beware of backstabbers! Co-workers smile in your face, and talk about you behind your back. On the outside, the company is awesome. In reality, there's no room for growth, and depending on your department, you may be doing mundane assignments everyday. If you're looking to be creative, and grow in commercial real estate, find somewhere else to work.","NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
Intern,4.0,"Apr 26, 2014","Good internal office network, strong ability to succeed in the industry. The day-to-day level of work was manageable and there wasn't a lot of competitive pressure not frustrating blocks to communication. Everyone is friendly.",top management is a bit disengaged and the project themselves could be a bit more planned out. I felt pretty underused and there could be a lot more coming from this company.,"NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
A good stable company with room for improvement,3.0,"Aug 18, 2022","Convenient location in downtown Orlando, accessible by SunRail, with good benefits, and a positive group of people to work with.",The company runs lean so there are limited career growth opportunities available.,"NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
Good People to Work With,3.0,"Sep 14, 2021",Good people to work with Good company benefits,Training is very little if any Department heads do not have their workers' back,"NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
"positive environment, but old school",4.0,"Jul 22, 2021",They show appreciation of employees,Could stand to be more progressive,"NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
Analyst Position,1.0,"May 8, 2014",Big Company with a lot of assets. Neat office building.,"Lack of communication. Hierarchy of all white people with little diversity except in Human Resources just to keep up their appearances. Extremely slow decision making. Little respect for others, everybody is paranoid over their job security constantly.","NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
Different place to work when new management took over,3.0,"May 13, 2011",Very competent people that are willing to share ideas. Reasonable work life balance. Most accounting jobs are like working deep underground.,Company structure designed for four people to set all durection and make all desisions amd for five people to get 50% of the compensation.,"NNN REIT, Inc.",NNN,Retail,2025-11-20,https://www.glassdoor.com/Reviews/NNN-REIT-Reviews-E2468.htm
