title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Solid company that has room for improvement.,3.0,"Feb 19, 2022",Financially and operationally very well run. Experienced and friendly co workers. Nice downtown office location. Above average compensation and benefits. National footprint and growing portfolio. Good opportunity to learn and grow.,Limited or unclear career paths. Lack of diversity and inclusion. This is a glaring issue. Executive team was literally behind closed doors. HR was distant and aloof.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great place to work!,5.0,"May 10, 2019","Everyone is very personable, helpful and kind. The company provides outstanding benefits and generous compensation. The give-back to the community is amazing and employee participation is encouraged, including paid time from work to volunteer. Just amazing! High expectations for you to do your best, but also very supportive to get you there. Best place to work.",None that I've found as of yet.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Terrible Management,2.0,"Aug 4, 2020","location, paid parking, nice offices","HR is the opposite of what an HR should be. Personal grudges, hit list, high turnover due to targeting anyone they feel threatened by. Executives turn a blind eye as really good people walk out the door.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Horrible Management,1.0,"Oct 30, 2020","Dress code is great, jeans every day. PTO is generous.","In all my years of work experience, this was the worst company I've ever worked for. Management is poor at Kite. Both upper and lower management. Upper management hides behind doors and doesn't value employees. Poor management and leadership in the Asset Management team. Lack of communication. Lots of favoritism. Both VP's of this department lack leadership. Not allowed to speak to upper management as you must go through the ""chain of command"". They tell you not to speak to upper management, instead you must go to your reporting supervisor. Said supervisor will stab you in the back and run to the VP's to throw you under the bus. Yearly goals are expected to be met. Though you don't receive your goals until mid-year. This company has too many people in management that shouldn't be in their position. Their are policies to follow, yet it seems to only apply to certain people. Let's talk about the HR department. It is horrid! The VP is the most cold-hearted, unfriendly, dreadful person to ever run an HR department. I've yet to meet one person that has anything nice to say about her. She will look you up and down with distaste, it is uncomfortable. Very unapproachable. Holds grudges. Eventually most employees with end up with a target on their back. Employee turnover is extremely high at this company. In all my years in the workforce, I've never seen a company with turnover of employees as this company has. I believe more people are terminated versus leaving on their own. It's sad that upper management can't see this and doesn't question it. No room for growth at this company. If you are offered a job here, I suggest you to run!",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Could have been better,2.0,"Jan 13, 2016","Growing company, nice properties","Terrible work environment, not flexible and stuck in their ways, not a team environment, limited upward mobility, no coaching and development within company, no training at all. Unclear and misleading about bonus.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Women Beware,3.0,"Feb 9, 2020","Lots of free food and events, depends on the department but some managers are very encouraging.",I never experienced sexism in my life until working at Kite. Real Estate is a boys club. Mostly everyone is a middle aged white man. If you are female they will not take you seriously. Hardly any women in positions of power.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great Company Continuously Working To Get Better,4.0,"Apr 29, 2022",If you are willing to work hard the company will provide you opportunities to grow and reward you. Leadership at all levels care about the people Compensation; Benefits; People; Flexible Scheduling,Work to understand the balance people need to have between work and personal. Not everyone has the same aspirations or needs.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Admins beware,1.0,"Sep 4, 2019",Non Executive employee's are personable.,"Increases and bonuses based on job title not merit. You can work hard and give 100%, if you're an admin, you won't be rewarded similarly to a mediocre ""higher up"" Female's won't be rewarded same as males. Very Good Old Boy culture. If you are a female, make sure you want to stay where you hired in, HR will make sure you won't move up.",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great Place to Work,5.0,"Dec 12, 2017",People who work here believe in the company and work hard to make it successful. It has a strong industry presence with a work environment that has a family feel to it. Lots of great benefits and employee-centered initiatives.,Nothing that I can think of.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Not employee friendly,3.0,"Jun 29, 2020",Met some great people. Liked the downtown location.,"Too many managers to report to, upper management has all the answers before you can pose a question. Consistence change in polices,",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Poor culture,1.0,"Aug 4, 2016","Comparable salary, fairly good benefits, non-leadership employees are hard workers for the most part, good location downtown and close to mall","Lack of integrity, disrespect for employees, culture of fear created by distrust for leadership and human resources department, broken chain of communication from leadership as well as between departments",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Grind It Out,1.0,"Aug 13, 2021",Met some great people Ok Benefits Good location paid parking,Human Resources Staff Disposable people approach No long term potential,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
No room for growth,1.0,"Jul 10, 2017",Company preaches that they want you to stay and grow but never provide any opportunities to do so. Better come inwith the position you want. No potential to further education No opportunity to explore other departments,Senior management. They are so far removed and have no idea what HR is doing to run the company into the ground.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Associate Asset Manager,4.0,"Jun 29, 2017",Flexibility to perform my job to the best of my ability,The HR department can be hard to work with,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great people and Great company,5.0,"Feb 16, 2022",Generous PTO time and they actually allow you to use it! The people are also great to work with.,Can't think of any at this time,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
It's a great place to work!,5.0,"Mar 24, 2022",Work Balance Excellent Benefits & Wellness Program Competitive Salary Relaxed Atmosphere,Complicated Operating Systems Lengthy Process Improvement,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Best Real estate Company in USA,5.0,"Aug 28, 2022","Best company to work , Great Team HR Support Fun Company provides everything you need",Do not have any cons,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Grind Employees,1.0,"Sep 27, 2019",It is a large company that helps build your resume.,truction manager,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Analyst,3.0,"Oct 16, 2018",Management allows flexibility in schedule.,No room for growth for those who are not in management.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Don’t the best,2.0,"Jan 6, 2022",The marketing team is awesome!,"Work environment is toxic and seems to only cater to older, white males",Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great Hr Deparment,5.0,"Jun 7, 2021",Fun Events Smaller Company Fair and Flexible,It can be a bit stressful,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Marketing,4.0,"Sep 18, 2015",Great benefits. The company is definitely growing.,Many departments are favored over others.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great Learning Experience,4.0,"Jul 7, 2021",Transparency Mentoring Executive Management Opportunities to Work With Multiple Groups Multiple Systems Exposure,Large Age Gaps Structured Employment Plan,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Great company,4.0,"Jan 5, 2023","Caring owners, freedom to make changes.",Management needs to make decisions in prompt manner.,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Appearances are deceiving.,1.0,"Jun 6, 2017",Office location is centrally located.,truction project manager,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
Very good,5.0,"Feb 7, 2021",Great powerful work life balance,Really great does not have any con,Kite Realty Group Trust,KRG,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Kite-Realty-Reviews-E35119.htm
