title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Company Culture,4.0,"May 2, 2025","Institutional, smart and professional coworkers","large company size, less employee training and mentoring opportunities",Rithm Property Trust,RPT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Rithm-Capital-Reviews-E2407133.htm
Great place to learn,4.0,"Mar 20, 2025",Knowledgeable coworkers. Very nice new office building.,Potentially long hours and weekends,Rithm Property Trust,RPT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Rithm-Capital-Reviews-E2407133.htm
Frustrating to work for,2.0,"Mar 3, 2020","brought in lunches and dinners, took care of the employees.","$1,500 a month taken out of paycheck for leads that aren't worth close to that amount.",Rithm Property Trust,RPT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Rithm-Capital-Reviews-E2407133.htm
Great training and resources,4.0,"Feb 19, 2019",Excellent training. Easy to navigate resources.,Primarily refinances. Hard to develop realtor relationships,Rithm Property Trust,RPT,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Rithm-Capital-Reviews-E2407133.htm
