title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Mission-Driven Industry Leader with Great People and a Few Growing Pains,"May 26, 2025","Prologis is the clear leader in its space, with a product and reputation that customers love. The company has strong ethical standards, led by principled leadership that prioritizes integrity in deal-making. The CEO is both sharp and approachable, setting a thoughtful tone from the top. Offices are beautiful, and employee benefits and events are well thought out. Workplace flexibility is real—most teams are empowered to choose how they work best. I genuinely enjoy working with my teammates and managers; the people here are kind, smart, and collaborative.","Compensation doesn’t always feel competitive given the caliber of talent and the company’s performance. Some senior leaders could be more engaged in fostering individual's growth and management development. New business lines sometimes launch without the necessary resourcing or clear strategic alignment, which can create inefficiencies and internal churn.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Strong culture and teamwork,"Sep 22, 2025",Prologis’ strong culture makes me proud to work here and motivates me to bring my best every day. Teamwork is built on trust and open communication.,"There is opportunity to strengthen cross-functional collaboration and relationships,","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
I'm very happy to work here,"Aug 27, 2025",Great company with strong record of performance + supportive team + incredible boss + awesome compensation package.,"The 5-day work week. I wish we had the option to do (4) 10-hour days instead. Most companies don't have that, but it's the only con I can think of!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"High-speed, high-autonomy environment with the right balance of structure","Aug 29, 2025","A company where you can move fast, take ownership, and still count on solid support systems.",Fast-pace isn’t for everyone. Less hand-holding. Evolving processes can be tough to navigate. Workload balance can fluctuate. Not a fit for everyone.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
So many opportunities!,"Sep 15, 2025",-Supportive and collaborative colleagues -Wide range of career growth opportunities -Excellent benefits package -Engaging and enjoyable office events -Modern and well-designed office spaces -Leadership that genuinely values and supports employees,"I'm still fairly new, so no cons so far...","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Purpose-Driven Company That Invests in People and Culture,"May 23, 2025",Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Company,"Sep 10, 2025",Culture is great. Coworkers are amazing. Great Benefits as well.,"Lots of data just floating in the ether. Sometimes if you ask two people the same question related to data, the answers will be different if retrieved from internal database.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
10/10 company to work for,"Sep 18, 2025","Company culture, career advancement/upward mobility, seamless cross team communication, trust instilled in employees","None come to mind, truly a great place to work!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A great company to work for!,"Sep 8, 2025","Career growth opportunities, fast-paced company, engagement and support for the employee resource groups, great benefits, transparent leadership, very nice offices, passionate and driven employees",It's a lean organization which has its pros and cons at times,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Could have been so much more...,"Aug 24, 2025",Great management style (not micromanaged) Encourages/allows work from home/telecommunting Compensation is very competitive Great benefits,Too much emphasis on checking boxes Often times too conservative in taking risks Too many senior managers are trying to drive process but either fail to align or take too long to align.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great people to work with and encouraging culture of learning,"Sep 5, 2025",-The people -Pay -Culture -Professional growth,-in office mandate -long commute,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Best Company Ever!,"Sep 18, 2025","Great culture, brilliant and hardwokring colleagues, thoughtful leadership, entrepreneurial spirit, great benefits",Nothing worth noting company wide,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Place to Work,"Jul 16, 2025","Very intentional about creating a culture of hardworking people that work well with others and fit the culture that has been created. There are a lot of opportunities for growth, as there are a lot of business units within our Industrial Real Estate business.","While Prologis industry leading and very intentional about diverse hiring while pursuing the most qualified individuals for the job, diversity is still low and is consistent with the industrial real estate industry.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Company to Work For!,"Aug 11, 2025","Prologis genuinely cares about its employees and is committed to supporting their growth and success. If you're looking for a company that invests in your career development, offers stability, and promotes a healthy work-life balance, this is the place to be.",I genuinely have no complaints - everything about my experience here has been positive.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Amazing Company *ACTUALLY* Focused on Culture,"Jul 29, 2025","The perks of being a Prologis employee are the ability to work with people who enjoy their job. Not necessarily every detail, but on the whole, there are more people who enjoy coming to the office here, than any place I've ever worked.",We don't own enough properties that I cannot bring all of my favorite co-workers from other previous employers to join me here.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Excellent Company with Top-of-the-Line Culture and People!,"Apr 28, 2025","Prologis provides us with consistent support, positive interactive feedback and industry leading opportunities for growth. The Life / Work balance is phenomenal. We all benefit from unmatched flexibility which translates into a very productive environment. Teamwork is awesome, so many fantastic people working together. Mentorship opportunities build our talent and benefit us as employees and our company.","There can always be improvement no matter how good we are. Communication is key to providing answers for any challenges that we face. If anything, I feel that we could be even more open to searching out positive solutions to our pain points and quickly initiating those changes.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Clique,"Aug 20, 2025",Good pay and nice offices,"people very cliquey, not kind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Best Culture period. Purpose-Driven and People-First,"Mar 28, 2025","Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.","Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A solid place to grow,"Jun 13, 2025","Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.","The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Amazing place to work!,"Jul 1, 2025","Beautiful offices all over the world Great culture and leaders Smart people, lots of innovators Opportunities to grow or move around the company",Middle management could use more training Upper management could encourage more of a work/life balance,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great company but the burnout is real,"May 28, 2025",They are a great company that is at the center of many innovative things. There are opportunities for advancement and your team will always help facilitate any movement if needed. Your managers and especially mine are knowledgeable and will do their best to help you succeed.,The burnout is real. So much work to do and so much outside of your typical responsibilities that keep you from getting to your day to day.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Time Flies when you love what you do,"Jun 12, 2025","It’s true—time flies when you enjoy what you’re doing. The work is meaningful, the team is supportive, and the culture is collaborative and inclusive. What makes it even more rewarding is the real impact we have on the communities we serve. Grateful to be part of something that matters.","Lean organization with limited career advancement opportunities, but offers strong learning experiences and personal growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
