title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Growth Opportunities and Supportive Leadership,"Sep 16, 2024","The company offers great opportunities for personal and professional growth. Leadership is very supportive, open to feedback, and encourages an environment where we feel valued and heard. The collaborative culture and teamwork make it a positive place to work.","Like many roles, the workload can sometimes become demanding, especially during busy periods. Meeting tight deadlines can be stressful at times, but with a supportive leadership team, these challenges are manageable. Improving certain internal processes could help alleviate some of the pressure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Good place to work,"Apr 3, 2025","The company is full of smart, high performing people.",The workload and pace can be exhausting,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Always something new to get involved in and be at the forefront of,"Sep 11, 2024","Prologis offers a dynamic and inclusive work environment where innovation and collaboration are at the forefront of everything we do. The company provides ample opportunities for growth in and above your role, with a strong focus on professional development and career advancement. With a commitment to sustainability, community engagement, and employee well-being, Prologis fosters a culture that values both individual contributions and teamwork. There is a strong emphasis during the interview process on identifying candidates that make a good team and cultural fit to ensure collegiality and longevity of employment with the company - this is evident in how many people you speak with have been with the company 5, 10, 20 years. The company’s global reach and dedication to industry leadership make it an exciting place to build an impactful career and be at the forefront of a fast growing industry.",Workload can sometimes be very overwhelming,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
THE BEST PLACE TO WORK..,"Sep 13, 2024","Prologis is more than just a workplace; it feels like going to your own office, where your voice and opinions truly matter. As a global leader in logistics real estate, Prologis fosters a culture of innovation, diversity, and inclusion, ensuring that everyone can contribute meaningfully. The company’s commitment to sustainability and community involvement allows employees to make a positive impact. With strong career growth opportunities, a supportive environment, and a focus on work-life balance, Prologis is a place where you can bring your true self and thrive both personally and professionally.","If you work at Prologis, you'll be so spoiled, no other company will ever measure up! You'll wonder how you ever settled for anything less. 😄","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A company to grow with,"Sep 13, 2024","- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day","- the work ebbs and flows, some days do feel heavier.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Reginal,"Oct 7, 2024","Prologis is an amazing place to work! The company is innovative, flexible, and filled with talented people who make every day exciting. There’s never a dull moment here, with constant opportunities for growth and learning. The compensation is excellent, and Prologis truly values its employees, always putting people first. Their customer-focused approach and inclusive culture create a positive, dynamic environment that makes you proud to be part of the team. If you want a company that cares about its people and pushes boundaries, Prologis is the place to be!","Constant change – The company’s focus on innovation means frequent changes in processes and goals, which can be hard for those who prefer stability. But I love it!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Company really takes care of us,"Oct 12, 2024","The company has excellent benefits and compensation for its employees. I feel very well supported by my management, and I appreciate the culture that senior leadership strives to spread throughout the organization.","We get a certain amount of days every year that we get to volunteer. Everyone takes the day off to volunteer for IMPACT Day, but it can be difficult to find time to use the other volunteer days without a broader corporate effort.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Ahead of the pack,"Sep 4, 2024","The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!","Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Superb culture, inspiring leaders and great benefits","Aug 28, 2024","Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.","It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Over 2 decades of job satisfaction,"Oct 7, 2024","I love the company culture, the benefits, and the fact that we are constantly leading the industry in how we operate and strive to keep our customers happy.","Part of being a leader in the industry means a lot of initiatives, change, testing and scrapping ideas, data collection -- it's a busy place!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Company culture has changed,"Jan 13, 2025",Great office views and fun people to work with,"Company culture has changed negatively, lots of budget cuts and management is not transparent","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
One of the Best Companies I've Ever Worked For,"Sep 13, 2024","#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.","I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A company that I admire and appreciate and colleagues I enjoy working with,"Sep 12, 2024","Generally a pretty progressive and innovative workplace that is always trying to make itself better. Diversity in thought and employee base. At the heart of it, you can tell they care about the employees and culture. A focus on community service and environmental impact. A lot of direct communication from the top leaders which makes them feel more accessible. Wonderful colleagues to work with.",There can be limited job mobility options depending on your goals. An innovation focus sometimes leads to a lot of initiatives.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Good company to work for,"Jan 12, 2025",Cares about employees well being and development,Little opportunity for upward mobility,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Great company, people and culture","Sep 6, 2024",* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Current Employee,"Dec 16, 2024",Great culture and benefits. Respectful and knowledgeable managers. Opportunities to further your career are available.,Collaboration between departments is necessary but needs to be improved. Company news communication,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Yes- It really is one of the best places to work,"Sep 13, 2024","The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.","There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
An Exceptional Workplace Where Excellence Thrives,"Sep 21, 2023",Diverse and dynamic work environment. Opportunities for skill development. Supportive and collaborative team. Varied daily challenges and tasks. Strong company culture and values.,Demanding workload and multitasking. Repetitive tasks at times. Stressful deadline-driven responsibilities. Occasional long working hours. Limited opportunities for creativity.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Walking the Walk with Culture and Values,"Oct 4, 2024","- Incredibly kind, passionate people -Commitment and action related to ESG, as well as diversity, equity, inclusion and belonging - Focus on embracing change and doing things differently","- Leaders don't effectively model a healthy work-life balance - Health insurance options are surprisingly very limited given company size - The company lives by innovation, but at times decisions feel more influenced by leaders' personal preferences","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Great culture, secret gem","Sep 16, 2024","The people are truly, genuinely great. Leadership is open to criticism, willing to change. Big ambitions in sustainability / reducing carbon footprint at scale. Real goals around equal pay, diversity and inclusion. Proactive, hard-working people.",Very fast-paced company. Some parts of the business are still very old school (it's real estate). Technology needs an upgrade -- employees have way too many disconnected tools and platforms.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Employer!!,"Oct 9, 2024",The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Great place to work, awesome culture, and innovative company","Sep 4, 2024","Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations","As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Fun Real Estate Company,"Sep 11, 2024",Prologis takes care of its employees first and that goes a long way in so many ways.,You will worry on having a boring time at work because you won't have any.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Excellent Company,"Sep 12, 2024","Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",The performance rating scale can be difficult to understand.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Nearly three years in,"Sep 11, 2024",- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Fun place to work,"Oct 13, 2024","Smart people, wide variety of things to be involved in, flexible culture","Fast-paced, but I enjoy that","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
The best people = a great company!,"Sep 17, 2024","Top notch people, excellent leadership and industry leading business practices.",I dont really see cons for working at Prologis. Its a great company to work for!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Strong culture, great people","Sep 22, 2024",Strong company culture. Very talented and dedicated people who are great to work with.,Work life balance is tough at times but not always.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Place to Work,"Sep 9, 2024","Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",Relatively small workforce size can mean slower career progression in some functions.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Committed to excellence,"Sep 11, 2024",Strong commitment to walking the walk and being the best in class,Organizations can be a little silo'd with similar functions doing things differently,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Takes great care of employees,"Sep 5, 2024","Lots of perks including great benefits, team building events, culture, etc","Since it is a global company, policies sometimes seem politically driven","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
A job,"Aug 26, 2024",You get paid on time,The company is full of people who don't know how to do their jobs.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Great company for agile, hard-workers","Aug 1, 2023","Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.","Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Amazing place to work!!!!,"Mar 25, 2024","The culture is collaborative, innovative and supportive. Leadership is so amazing; they are dedicated to your success. They are so approachable and really take time to listen. They take feedback and react to it quickly. They are dedicated to their sustainability goals and their community involvement. They encourage a healthy work/life balance. They have a great mentor program for anyone that wants to grow professionally or personally.",I currently can't think of any cons.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
