title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Amazing company,5.0,"Oct 29, 2025","Flexible schedule, great benefits, amazing community",Can get busy with workload,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
No growth,2.0,"Sep 11, 2025","They have fairly good benefits, many incentive programs, half days on Fridays (though you have to work an extra hour each day during the week), ice cream trucks, food trucks day, summer outing, holiday parties, etc. All the typical things large companies do to placate their employees.","The pay and the lack of growth are the cons. There is no path forward for growth. They won’t even give you an arbitrary title change that comes with a minimal pay bump because they don’t want to “saturate the roster”. Meanwhile, at least on my team, we all did the same amount of work and only one person had the attorney 2 title to match. HR won’t address your concerns head on. The company recognizes that this is just a launching point for attorneys so they don’t attempt to create any retention. Get your experience and move on.",American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
fine,3.0,"Oct 30, 2025",work life balance and good manager,low pay and repetitive work,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
Great,5.0,"Oct 22, 2025",Work life balance Great working environment Conducive to learning and growth as a professional,The salary is a bit low for a fortune 500.,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
Yes I would reccommend working here,4.0,"Oct 6, 2025",Great culture and work life balance coupled with strong leadership and future growth.,truction estimator,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
"Great culture, mediocre base salary",3.0,"Sep 11, 2025","Great people, benefits, and flexible work life balance",Pay is pretty sub-par for the work expectations. Workload can be unfairly distributed based on your assigned market and associated market nuances. Very limited growth potential and few opportunities to climb the ladder professionally.,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
ATC is a Great Place to Start Career,4.0,"Oct 9, 2025","Salary, benefits, paternity/maternity leave, culture.","Near Boston, but doesn't pay Boston-level wages.",American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
Toxic Leadership,2.0,"Jul 3, 2025",I learned what not to do & what I will/will not take from an employer.,Leadership can have relationships with each other that is cliquey. I hated feeling like I was working to make my leadership look good to theirs. I found myself having to teach myself a lot things and receiving guidance that was inaccurate when push came to shove and leadership not taking accountability. Upward mobility doesn't seem like a real thing. I feared that the flexibility offered was special but I have since found that others will offer it to you and that there's nothing special about a job that has leadership that prioritizes favoritism vs potential or that keeps you mediocre at industry standards at very best.,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
"Job yes, career no",2.0,"Dec 30, 2024",If the benefits align with your needs then they are great. They tier the plans accordingly and decent but consistent with healthcare rising. Plenty of projects to work on. Anything you can do to cut costs and improve efficiency is appreciated. There is a DEI program and lots of different ways to help. Vacation time is great and much needed.,"Industry appears to be shifting to heavy use of contractors and third parties. Which to loyal employees working long hours is a net negative. When new hires and contractors are treated better than full time employees there is a problem. There is no work life balance, we have consistently gone more back to the office, 1>2>3 days in the office with expected 5 days this coming year. No direct promotion or ladder to climb here. Lots of high turn over resulting in the senior folks carrying most of the load, wearing multiple hats. Last year 2023 they terminated a huge workforce reduction and then put all that work on the employees still here. Now they appear to be hiring contractor third parties as supplement workers. Some out of state.",American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
"Good place to start, not long term",3.0,"Mar 26, 2025","- vacation time is generous -people - benefits are good but do not make up for lackluster compensation - work is interesting for the most part, but legal teams are siloed and you don’t wind up a well rounded in house attorney unless you switch teams which can halt career progression internally but make you a more marketable candidate externally",-compensation far below market rate - there is no concrete way to get promoted and move up at this company. You can exceed expectations and goals and still not benefit financially and/or with your title,American Tower Corporation,AMT,2025-11-11,https://www.glassdoor.com/Reviews/American-Tower-Reviews-E8043.htm
