title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Not good for young employees,1.0,"Jan 21, 2016",You get solid PTO but...cons>pros,"Small company feeling with heavy division between groups, people often leave early or get replaced quickly, antisocial environment where noboddy eats lunch toether except one guy who is creepy and asks everyone ""so guys, what is for lunch today"" starting at 9:30am, churn em and burn em mentaility for younger employees, long hours in development and acquisitions, I choose to leave bc of slow growth ops, also the IT department is unhelpful",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
"Great culture, great people",5.0,"Dec 22, 2021","A well-managed real estate investment and management company. Seasoned and tenured executive team, a respectful work environment. Opportunities to advance for those who demonstrate success.",Two office location (Rye / NYC) the team is sometimes not all under one roof. 4-days a week in the office might not be ideal for everyone.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
"Clueless, Aging Executives.",2.0,"Aug 11, 2022",Multi-faceted roles. Lot of hands on work.,Dinosaur executive team who incessantly refute change. Compensation is too low for the current market environment.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
"Great Benefits, Org chart needs a lot of cleaning up",2.0,"Jul 12, 2017",Great Benefits. Great learning experience for new grads / interns.,Very uptight and formal setting. Lots of unhealthy competition. Too many people reporting to an SVP. Needs a lot of organizational structuring. Unnecessarily long work hours,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Discriminated for being Jamaican and called a coconut by management 2 times,2.0,"Jul 27, 2020",Good Benefits and work and life balance,Management lies and does what they want without any disciplinary actions taken no matter how many times you go to HR,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
It's not easy to work at this company. A lot of hours and stress but I learned a lot.,3.0,"Mar 26, 2015",Very fast paced and you will learn a lot.,"Lack of communication as to the progress of your work, no training and Male oriented.",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Ok if you know what you are doing,3.0,"Apr 26, 2016","People were nice and supportive, had quite a few close friends, work was interesting","Better know what you are doing, probably not the best if you need guidance or just get started in your career",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Summer Intern,5.0,"Sep 8, 2016",Great office culture with personal interaction with all senior vice presidents and executives. Overall a great experience.,"Work load was lacking at sometimes during the internship, but overall projects were very involved and mimicked those associates were working on at the time.",Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
"Excellent Company, Positive & Productive work environment",5.0,"Apr 30, 2014",Excellent Human Capital team. Great work/life balance. This is a company that strongly focus's on the well- being of its employees which leads to a positive and productive work environment.,I can not think of any.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Pro and Con,4.0,"Oct 21, 2020",Wellness is valued at the company,Does not do a good job with employee reviews throughout the year,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Good company,4.0,"Jan 13, 2022",Good company and great benefits.,Remote option would be helpful. They do allow work from home on need basis.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Great company,5.0,"Feb 8, 2022",Great team and fun place to work.,I have nothing negative to say about the company.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
,5.0,"Sep 14, 2015",good time management and better standard of living,no profits or benefits from company,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Lease Admin,5.0,"Sep 22, 2019",Great training and company atmosphere,Rye office location is far from ammenities,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Full time,5.0,"Aug 1, 2018",Great and very smart people,NA - a pleasure working here.,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
Small company,3.0,"Nov 23, 2010",Acadia has a strong balance sheet,Divisive insular core management team,Acadia Realty Trust,AKR,2025-11-11,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm
