title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Company,5.0,"Feb 28, 2024",Great company with great employees,No cons been very enjoyable,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Great company,4.0,"Apr 11, 2023",Leadership is solid and proven track record.,Have to wear numerous different hats to be successful.,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Administrative Assistant,5.0,"Sep 2, 2015","Love the people here in the office, they are so friendly and helpful. Job is really easy, sometimes there's plenty do to and other times there isn't anything to do but read. Hours are 8-5 but they are flexible and understanding. Great place to work!","Sometimes it can get a little boring during the slow times, but that doesn't last very long fortunately and you can always ask someone else if they need help with a project if you are really looking for something to do.","EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Good Company,4.0,"Feb 9, 2015","The people are very friendly, easy going and quick to help fellow co-workers. Benefits are great. The organization promotes and encourages a healthy lifestyle through motivation and a perks/benefits. They promote within. Great work-life balance.","Smaller organization so little opportunity, if any, for advancement. Lacks fundamentals in managing employees and people, resulting in issues that have the potential to escalate over time.","EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Great place to work,5.0,"Jan 19, 2015",People were very nice and genuinely cared.,Really no cons I can think of.,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Great job.,5.0,"May 30, 2014","stock options, promotions, bonuses, growth",Climb the company ladder. Quarterly reporting,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
Amazing Company,5.0,"Jun 21, 2022",Great company to work for!,I did not experience any cons working for EastGroup,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
East group,3.0,"Jun 6, 2022",Good working environment and good management,It has no Work life balance,"EastGroup Properties, Inc.",EGP,Industrial,2025-11-21,https://www.glassdoor.com/Reviews/EastGroup-Properties-Reviews-E849.htm
